1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
用法コード,"基本
用法
区分
コード","基本
用法
区分","用法
詳細
区分
コード","用法
詳細
区分","タイミ
ング指
定区分
コード",タイミング指定区分,用法名称,"標準
用法
整理
番号","使用
開始日","使用
終了日",用法コード区分,用法補足記録,,,,,用法カナ名称,"用法
コード
（調剤
レセプ
ト）"
,,,,,,,,,,,,頓用の条件指定,投与タイミング,投与時刻,投与間隔,部位,,
,,,,,,,,,,,,,,,,,,
1011000090000000,1,内服,0,経口,1,食事ベース型,１日１回起床時　服用,1101,20220725,99999999,0,0,0,0,0,0,１ニチ１カイキショウジ　フクヨウ,048
1011000100000000,1,内服,0,経口,1,食事ベース型,１日１回朝食前　服用,1102,20220725,99999999,0,0,0,0,0,0,１ニチ１カイチョウショクマエ　フクヨウ,005
1011000200000000,1,内服,0,経口,1,食事ベース型,１日１回朝食直前　服用,1103,20220725,99999999,0,0,0,0,0,0,１ニチ１カイチョウショクチョクゼン　フクヨウ,900
1011000300000000,1,内服,0,経口,1,食事ベース型,１日１回朝食直後　服用,1141,20220725,99999999,0,0,0,0,0,0,１ニチ１カイチョウショクチョクゴ　フクヨウ,900
1011000400000000,1,内服,0,経口,1,食事ベース型,１日１回朝食後　服用,1104,20220725,99999999,0,0,0,0,0,0,１ニチ１カイチョウショクゴ　フクヨウ,006
1011000500000000,1,内服,0,経口,1,食事ベース型,１日１回朝食２時間後　服用,1105,20220725,99999999,0,0,0,0,0,0,１ニチ１カイチョウショク２ジカンゴ　フクヨウ,900
1011000900000000,1,内服,0,経口,1,食事ベース型,１日１回朝食中　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ１カイチョウショクチュウ　フクヨウ,900
1011001000000000,1,内服,0,経口,1,食事ベース型,１日１回昼食前　服用,1106,20220725,99999999,0,0,0,0,0,0,１ニチ１カイチュウショクマエ　フクヨウ,008
1011002000000000,1,内服,0,経口,1,食事ベース型,１日１回昼食直前　服用,1107,20220725,99999999,0,0,0,0,0,0,１ニチ１カイヒルショクチョクゼン　フクヨウ,900
1011003000000000,1,内服,0,経口,1,食事ベース型,１日１回昼食直後　服用,1142,20220725,99999999,0,0,0,0,0,0,１ニチ１カイヒルショクチョクゴ　フクヨウ,900
1011004000000000,1,内服,0,経口,1,食事ベース型,１日１回昼食後　服用,1108,20220725,99999999,0,0,0,0,0,0,１ニチ１カイチュウショクゴ　フクヨウ,009
1011005000000000,1,内服,0,経口,1,食事ベース型,１日１回昼食２時間後　服用,1109,20220725,99999999,0,0,0,0,0,0,１ニチ１カイチュウショク２ジカンゴ　フクヨウ,900
1011009000000000,1,内服,0,経口,1,食事ベース型,１日１回昼食中　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ１カイチュウショクチュウ　フクヨウ,900
1011010000000000,1,内服,0,経口,1,食事ベース型,１日１回夕食前　服用,1110,20220725,99999999,0,0,0,0,0,0,１ニチ１カイユウショクマエ　フクヨウ,011
1011020000000000,1,内服,0,経口,1,食事ベース型,１日１回夕食直前　服用,1143,20220725,99999999,0,0,0,0,0,0,１ニチ１カイユウショクチョクゼン　フクヨウ,900
1011030000000000,1,内服,0,経口,1,食事ベース型,１日１回夕食直後　服用,1144,20220725,99999999,0,0,0,0,0,0,１ニチ１カイユウショクチョクゴ　フクヨウ,900
1011040000000000,1,内服,0,経口,1,食事ベース型,１日１回夕食後　服用,1111,20220725,99999999,0,0,0,0,0,0,１ニチ１カイユウショクゴ　フクヨウ,012
1011050000000000,1,内服,0,経口,1,食事ベース型,１日１回夕食２時間後　服用,1112,20220725,99999999,0,0,0,0,0,0,１ニチ１カイユウショク２ジカンゴ　フクヨウ,900
1011090000000000,1,内服,0,経口,1,食事ベース型,１日１回夕食中　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ１カイユウショクチュウ　フクヨウ,900
1011100000000000,1,内服,0,経口,1,食事ベース型,１日１回就寝前　服用,1113,20220725,99999999,0,0,0,0,0,0,１ニチ１カイシュウシンマエ　フクヨウ,013
1012000190000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と朝食前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトチョウショクマエ　フクヨウ,900
1012000290000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と朝食直前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトチョウショクチョクゼン　フクヨウ,900
1012000390000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と朝食直後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトチョウショクチョクゴ　フクヨウ,900
1012000490000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と朝食後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトチョウショクゴ　フクヨウ,900
1012000590000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と朝食２時間後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトチョウショク２ジカンゴ　フクヨウ,900
1012000990000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と朝食中　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトチョウショクチュウ　フクヨウ,900
1012001090000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と昼食前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトチュウショクマエ　フクヨウ,900
1012002090000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と昼食直前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトチュウショクチョクゼン　フクヨウ,900
1012003090000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と昼食直後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトチュウショクチョクゴ　フクヨウ,900
1012004090000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と昼食後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトチュウショクゴ　フクヨウ,900
1012005090000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と昼食２時間後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトチュウショク２ジカンゴ　フクヨウ,900
1012009090000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と昼食中　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトチュウショクチュウ　フクヨウ,900
1012010090000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と夕食前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトユウショクマエ　フクヨウ,900
1012020090000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と夕食直前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトユウショクチョクゼン　フクヨウ,900
1012030090000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と夕食直後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトユウショクチョクゴ　フクヨウ,900
1012040090000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と夕食後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトユウショクゴ　フクヨウ,900
1012050090000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と夕食２時間後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトユウショク２ジカンゴ　フクヨウ,900
1012090090000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と夕食中　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトユウショクチュウ　フクヨウ,900
1012100090000000,1,内服,0,経口,1,食事ベース型,１日２回起床時と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイキショウジトシュウシンマエ　フクヨウ,900
1012001100000000,1,内服,0,経口,1,食事ベース型,１日２回朝昼食前　服用,1117,20220725,99999999,0,0,0,0,0,0,１ニチ２カイアサヒルショクマエ　フクヨウ,015
1012002200000000,1,内服,0,経口,1,食事ベース型,１日２回朝昼食直前　服用,1145,20220725,99999999,0,0,0,0,0,0,１ニチ２カイアサヒルショクチョクゼン　フクヨウ,900
1012003300000000,1,内服,0,経口,1,食事ベース型,１日２回朝昼食直後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイアサヒルショクチョクゴ　フクヨウ,900
1012004400000000,1,内服,0,経口,1,食事ベース型,１日２回朝昼食後　服用,1118,20220725,99999999,0,0,0,0,0,0,１ニチ２カイアサヒルショクゴ　フクヨウ,016
1012005500000000,1,内服,0,経口,1,食事ベース型,１日２回朝昼食２時間後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイアサヒルショク２ジカンゴ　フクヨウ,900
1012009900000000,1,内服,0,経口,1,食事ベース型,１日２回朝昼食中　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイアサヒルショクチュウ　フクヨウ,900
1012010100000000,1,内服,0,経口,1,食事ベース型,１日２回朝夕食前　服用,1119,20220725,99999999,0,0,0,0,0,0,１ニチ２カイアサユウショクマエ　フクヨウ,017
1012020200000000,1,内服,0,経口,1,食事ベース型,１日２回朝夕食直前　服用,1146,20220725,99999999,0,0,0,0,0,0,１ニチ２カイアサユウショクチョクゼン　フクヨウ,900
1012030300000000,1,内服,0,経口,1,食事ベース型,１日２回朝夕食直後　服用,1147,20220725,99999999,0,0,0,0,0,0,１ニチ２カイアサユウショクチョクゴ　フクヨウ,900
1012040400000000,1,内服,0,経口,1,食事ベース型,１日２回朝夕食後　服用,1120,20220725,99999999,0,0,0,0,0,0,１ニチ２カイアサユウショクゴ　フクヨウ,018
1012050500000000,1,内服,0,経口,1,食事ベース型,１日２回朝夕食２時間後　服用,1121,20220725,99999999,0,0,0,0,0,0,１ニチ２カイアサユウショク２ジカンゴ　フクヨウ,900
1012090900000000,1,内服,0,経口,1,食事ベース型,１日２回朝夕食中　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイアサユウショクチュウ　フクヨウ,900
1012100100000000,1,内服,0,経口,1,食事ベース型,１日２回朝食前と就寝前　服用,1115,20220725,99999999,0,0,0,0,0,0,１ニチ２カイチョウショクマエトシュウシンマエ　フクヨウ,035
1012100200000000,1,内服,0,経口,1,食事ベース型,１日２回朝食直前と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイチョウショクチョクゼントシュウシンマエ　フクヨウ,900
1012100400000000,1,内服,0,経口,1,食事ベース型,１日２回朝食後と就寝前　服用,1116,20220725,99999999,0,0,0,0,0,0,１ニチ２カイチョウショクゴトシュウシンマエ　フクヨウ,036
1012100500000000,1,内服,0,経口,1,食事ベース型,１日２回朝食２時間後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイチョウショク２ジカンゴトシュウシンマエ　フクヨウ,900
1012100900000000,1,内服,0,経口,1,食事ベース型,１日２回朝食中と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイチョウショクチュウとシュウシンマエ　フクヨウ,900
1012011000000000,1,内服,0,経口,1,食事ベース型,１日２回昼夕食前　服用,1122,20220725,99999999,0,0,0,0,0,0,１ニチ２カイヒルユウショクマエ　フクヨウ,019
1012022000000000,1,内服,0,経口,1,食事ベース型,１日２回昼夕食直前　服用,1148,20220725,99999999,0,0,0,0,0,0,１ニチ２カイヒルユウショクチョクゼン　フクヨウ,900
1012033000000000,1,内服,0,経口,1,食事ベース型,１日２回昼夕食直後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイヒルユウショクチョクゴ　フクヨウ,900
1012044000000000,1,内服,0,経口,1,食事ベース型,１日２回昼夕食後　服用,1124,20220725,99999999,0,0,0,0,0,0,１ニチ２カイヒルユウショクゴ　フクヨウ,020
1012055000000000,1,内服,0,経口,1,食事ベース型,１日２回昼夕食２時間後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイヒルユウショク２ジカンゴ　フクヨウ,900
1012099000000000,1,内服,0,経口,1,食事ベース型,１日２回昼夕食中　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイヒルユウショクチュウ　フクヨウ,900
1012101000000000,1,内服,0,経口,1,食事ベース型,１日２回昼食前と就寝前　服用,1123,20220725,99999999,0,0,0,0,0,0,１ニチ２カイチュウショクマエトシュウシンマエ　フクヨウ,037
1012102000000000,1,内服,0,経口,1,食事ベース型,１日２回昼食直前と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイチュウショクチョクゼントシュウシンマエ　フクヨウ,900
1012103000000000,1,内服,0,経口,1,食事ベース型,１日２回昼食直後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイチュウショクチョクゴトシュウシンマエ　フクヨウ,900
1012104000000000,1,内服,0,経口,1,食事ベース型,１日２回昼食後と就寝前　服用,1125,20220725,99999999,0,0,0,0,0,0,１ニチ２カイチュウショクゴトシュウシンマエ　フクヨウ,038
1012105000000000,1,内服,0,経口,1,食事ベース型,１日２回昼食２時間後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイチュウショク２ジカンゴトシュウシンマエ　フクヨウ,900
1012109000000000,1,内服,0,経口,1,食事ベース型,１日２回昼食中と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイチュウショクチュウトシュウシンマエ　フクヨウ,900
1012110000000000,1,内服,0,経口,1,食事ベース型,１日２回夕食前と就寝前　服用,1126,20220725,99999999,0,0,0,0,0,0,１ニチ２カイユウショクマエトシュウシンマエ　フクヨウ,039
1012120000000000,1,内服,0,経口,1,食事ベース型,１日２回夕食直前と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイユウショクチョクゼントシュウシンマエ　フクヨウ,900
1012130000000000,1,内服,0,経口,1,食事ベース型,１日２回夕食直後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイユウショクチョクゴトシュウシンマエ　フクヨウ,900
1012140000000000,1,内服,0,経口,1,食事ベース型,１日２回夕食後と就寝前　服用,1127,20220725,99999999,0,0,0,0,0,0,１ニチ２カイユウショクゴトシュウシンマエ　フクヨウ,040
1012150000000000,1,内服,0,経口,1,食事ベース型,１日２回夕食２時間後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイユウショク２ジカンゴとシュウシンマエ　フクヨウ,900
1012190000000000,1,内服,0,経口,1,食事ベース型,１日２回夕食中と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ２カイユウショクチュウトシュウシンマエ　フクヨウ,900
1013001190000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝昼食前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトアサヒルショクマエ　フクヨウ,900
1013002290000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝昼食直前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトアサヒルショクチョクゼン　フクヨウ,900
